deposit_id,user_id,deposit_ts,amount,payment_method,status,is_admin_deposit
1,107,2023-12-03 18:02:07,10,,completed,True
2,287,2024-10-24 06:13:16,500,paypal,completed,False
3,1899,2024-12-22 21:18:01,200,paypal,completed,False
4,4690,2024-10-12 02:37:51,1000,credit_card,completed,False
5,858,2024-03-16 14:06:32,50,,completed,True
6,4713,2024-07-10 21:02:30,500,debit_card,completed,False
7,109,2024-08-29 14:59:19,1000,bank_transfer,completed,False
8,1435,2024-06-09 09:05:55,25,credit_card,failed,False
9,1609,2024-11-06 08:13:20,1000,credit_card,failed,False
10,4731,2024-10-08 17:39:03,25,,completed,True
11,2569,2025-01-24 12:28:42,500,bank_transfer,completed,False
12,1870,2024-11-06 10:35:08,50,bank_transfer,completed,False
13,3431,2024-09-26 00:31:07,200,credit_card,completed,False
14,4290,2024-08-30 11:15:06,25,debit_card,completed,False
15,1741,2024-10-20 04:18:39,200,bank_transfer,completed,False
16,2350,2024-08-11 16:01:10,1000,debit_card,completed,False
17,4183,2024-09-14 11:23:22,50,bank_transfer,completed,False
18,3668,2024-01-10 18:03:07,200,debit_card,completed,False
19,37,2024-10-16 03:34:40,50,,completed,True
20,4582,2024-06-22 05:00:42,25,debit_card,completed,False
21,864,2024-06-03 20:51:10,500,venmo,completed,False
22,3679,2024-10-13 16:50:43,200,credit_card,failed,False
23,4577,2024-12-11 12:01:10,25,debit_card,completed,False
24,4348,2024-09-27 12:35:24,200,paypal,completed,False
25,1522,2024-09-17 22:12:36,25,debit_card,completed,False
26,3588,2024-11-08 06:45:41,25,bank_transfer,completed,False
27,4892,2024-12-30 12:46:08,50,venmo,completed,False
28,3813,2024-04-24 09:40:29,200,paypal,failed,False
29,3905,2025-01-17 19:35:35,100,credit_card,completed,False
30,3708,2024-10-01 07:16:19,100,venmo,completed,False
31,2435,2024-12-30 16:19:53,500,bank_transfer,completed,False
32,2648,2024-03-22 17:05:25,1000,bank_transfer,failed,False
33,922,2024-12-03 14:01:51,25,credit_card,completed,False
34,3546,2024-09-14 17:42:09,50,bank_transfer,completed,False
35,3768,2024-10-15 17:23:33,200,venmo,completed,False
36,494,2024-10-02 04:45:29,500,credit_card,failed,False
37,4129,2024-12-25 23:23:04,25,bank_transfer,completed,False
38,2652,2024-07-31 03:56:45,200,paypal,completed,False
39,423,2024-05-21 14:43:32,100,paypal,completed,False
40,1975,2024-08-20 04:33:55,500,debit_card,completed,False
41,2946,2024-05-03 05:02:33,100,venmo,completed,False
42,2596,2024-11-04 19:21:53,500,debit_card,completed,False
43,4456,2024-06-01 13:25:34,50,debit_card,completed,False
44,1191,2024-10-21 02:16:20,10,,completed,True
45,4304,2024-08-11 05:18:28,1000,bank_transfer,completed,False
46,3791,2024-09-21 22:33:08,1000,debit_card,completed,False
47,202,2024-04-01 12:09:14,100,paypal,completed,False
48,3637,2024-10-28 05:54:28,50,venmo,completed,False
49,1551,2025-01-25 13:26:20,25,,completed,True
50,1466,2024-12-01 23:32:14,100,credit_card,completed,False
51,1827,2024-06-16 11:06:31,1000,credit_card,completed,False
52,1972,2024-10-22 08:44:02,1000,credit_card,completed,False
53,2800,2024-11-01 07:20:44,500,bank_transfer,completed,False
54,4341,2025-01-08 18:43:46,50,credit_card,completed,False
55,420,2024-05-25 23:24:24,50,credit_card,completed,False
56,1299,2024-11-05 13:46:22,200,debit_card,completed,False
57,75,2024-09-19 08:07:52,500,bank_transfer,completed,False
58,822,2024-08-09 03:45:49,500,bank_transfer,completed,False
59,757,2024-05-05 07:39:52,50,,completed,True
60,489,2024-11-25 05:19:38,500,venmo,completed,False
61,2394,2025-01-05 18:29:44,200,venmo,completed,False
62,4292,2024-12-29 20:29:26,500,debit_card,completed,False
63,1393,2024-09-10 15:34:10,50,bank_transfer,failed,False
64,2372,2024-08-29 20:35:23,1000,debit_card,completed,False
65,3250,2024-02-27 18:32:56,500,paypal,completed,False
66,3843,2024-01-10 13:46:54,50,bank_transfer,completed,False
67,1700,2025-01-10 12:21:35,100,bank_transfer,completed,False
68,2327,2025-01-28 11:33:36,500,credit_card,completed,False
69,1963,2024-10-06 15:11:36,1000,debit_card,completed,False
70,779,2023-10-23 19:35:47,1000,credit_card,completed,False
71,3075,2024-11-10 23:47:05,50,bank_transfer,completed,False
72,2607,2024-09-26 08:42:48,10,,completed,True
73,4370,2024-12-02 15:34:27,500,venmo,completed,False
74,4710,2024-11-02 20:43:06,10,,completed,True
75,16,2024-08-15 01:21:06,200,credit_card,completed,False
76,3397,2023-12-10 02:19:50,25,debit_card,completed,False
77,2427,2024-08-03 04:35:21,1000,credit_card,completed,False
