entry_id,user_id,contest_id,entry_time,entry_fee,bonus_funds_used,cash_used,payout_amount,status
1,1730,476,2025-01-08 06:40:42,100,0,100,0,completed
2,2977,458,2025-01-07 20:43:41,20,0,20,30.0,completed
3,3225,35,2024-09-29 10:27:07,10,0,10,0,completed
4,4810,145,2024-09-23 16:53:33,25,0,25,0,completed
5,2966,48,2024-09-26 08:19:16,10,0,10,0,completed
6,2042,146,2024-10-22 10:31:08,20,0,20,0,completed
7,1206,104,2025-01-11 05:39:55,20,0,20,0,completed
8,2796,284,2024-09-18 09:05:42,10,10,0,0,completed
9,1624,247,2024-12-14 03:36:46,100,0,100,0,completed
10,4321,242,2024-12-31 21:33:11,100,0,100,0,completed
11,1257,328,2024-10-23 12:53:10,5,0,5,0,completed
12,3933,466,2024-09-29 21:37:45,100,0,100,0,completed
13,960,489,2024-10-09 07:44:28,10,10,0,100,completed
14,4111,394,2025-01-09 07:17:52,10,0,10,0,completed
15,4833,448,2024-11-21 09:50:24,50,0,50,0,completed
16,1325,248,2025-01-10 02:51:59,5,5,0,0,completed
17,4512,278,2025-01-21 03:43:57,10,10,0,200,completed
18,1211,93,2024-12-26 02:49:34,100,20,80,0,completed
19,4728,476,2025-01-07 02:13:48,100,0,100,0,completed
20,1541,208,2024-11-20 01:57:38,100,0,100,0,completed
21,3212,491,2025-01-14 01:48:52,50,50,0,50,cancelled
22,3039,112,2024-11-26 15:16:20,100,0,100,0,completed
23,1263,150,2025-01-20 14:01:38,25,0,25,0,completed
24,4943,431,2025-01-24 07:18:20,10,0,10,0,completed
25,1392,441,2024-11-13 19:17:50,50,0,50,0,completed
26,3716,11,2024-11-20 09:15:00,50,50,0,0,completed
27,4958,312,2024-11-26 09:00:19,10,0,10,0,completed
28,4811,411,2024-11-26 15:28:16,100,50,50,0,completed
29,4932,485,2024-10-14 02:41:18,20,0,20,0,completed
30,4132,83,2024-12-20 14:19:44,25,25,0,0,completed
31,2170,184,2024-10-16 15:30:55,10,0,10,0,completed
32,3245,248,2025-01-10 02:09:52,5,0,5,0,completed
33,796,55,2024-10-24 05:51:06,20,0,20,100,completed
34,3820,96,2024-12-09 13:01:17,10,10,0,15.0,completed
35,1515,240,2024-11-23 10:37:00,5,0,5,0,completed
36,120,298,2024-10-07 21:01:48,5,5,0,0,completed
37,2820,12,2025-01-27 13:21:18,100,100,0,0,completed
38,2201,207,2025-01-06 22:06:54,20,20,0,0,completed
39,1028,130,2024-10-22 15:56:55,5,5,0,5,cancelled
40,665,40,2024-09-06 15:10:23,10,0,10,0,completed
41,3504,366,2025-01-22 00:37:35,20,0,20,20,cancelled
42,3242,256,2025-01-05 15:37:22,10,0,10,30,completed
43,901,51,2025-01-17 10:14:11,5,0,5,0,completed
44,4680,194,2024-11-03 13:38:17,10,0,10,0,completed
45,243,313,2025-01-20 03:38:03,20,0,20,0,completed
46,4457,101,2024-10-25 20:36:05,5,0,5,0,completed
47,1568,291,2024-11-23 17:13:23,50,0,50,100,completed
48,3937,154,2024-11-02 06:42:46,25,0,25,500,completed
49,2933,1,2024-09-16 02:37:52,50,0,50,0,completed
50,1124,423,2024-10-28 07:15:07,5,0,5,10,completed
51,1953,300,2025-01-07 23:08:02,5,5,0,0,completed
52,4011,63,2024-11-24 03:29:02,25,0,25,0,completed
53,4754,59,2025-01-05 17:59:09,100,25,75,0,completed
54,3541,54,2024-12-19 09:39:24,20,0,20,0,completed
55,2127,310,2024-09-14 21:45:36,20,0,20,0,completed
56,2292,240,2024-11-23 10:49:51,5,0,5,100,completed
57,1282,418,2024-11-15 03:50:26,20,20,0,0,completed
58,2745,165,2024-12-05 02:13:34,20,0,20,40,completed
59,2088,336,2025-01-19 13:50:25,20,0,20,,completed
60,4042,348,2024-11-22 04:08:59,20,0,20,20,cancelled
61,4842,75,2024-09-07 04:39:56,100,0,100,0,completed
62,1297,266,2024-12-30 17:56:46,5,5,0,0,completed
63,4814,96,2024-12-10 07:13:39,10,10,0,15.0,completed
64,814,331,2024-10-01 12:03:50,100,100,0,0,completed
65,4197,148,2024-11-29 12:31:11,5,5,0,0,completed
66,4688,474,2024-11-18 22:00:39,20,0,20,0,completed
67,4664,301,2024-09-16 21:14:24,5,0,5,0,completed
68,3670,328,2024-10-24 03:13:10,5,0,5,0,completed
69,2624,287,2024-10-25 14:03:44,100,0,100,0,completed
70,1126,280,2024-09-18 12:45:20,10,0,10,0,completed
71,3142,233,2024-10-05 08:33:08,10,10,0,0,completed
72,2671,416,2025-01-16 13:26:29,50,0,50,0,completed
73,700,160,2024-10-23 19:22:18,25,0,25,25,cancelled
74,2848,387,2024-11-04 10:28:43,100,0,100,150.0,completed
75,3913,303,2024-09-16 14:57:32,100,100,0,0,completed
76,4843,485,2024-10-14 03:46:42,20,0,20,0,completed
77,1351,314,2024-10-06 01:07:26,100,0,100,1000,completed
78,2194,364,2024-12-22 13:06:33,5,0,5,0,completed
79,781,48,2024-09-26 11:17:03,10,10,0,200,completed
80,4324,340,2024-11-29 14:11:23,5,5,0,0,completed
81,295,199,2025-01-28 19:35:59,50,0,50,0,completed
82,2755,335,2024-12-22 22:47:49,20,0,20,0,completed
83,4541,477,2024-12-17 21:29:26,50,35,15,0,completed
84,4307,393,2024-09-17 10:41:47,5,5,0,0,completed
85,189,8,2024-11-02 09:16:31,50,50,0,0,completed
86,1131,67,2024-11-28 10:09:01,20,0,20,0,completed
87,39,390,2024-12-10 18:20:07,5,0,5,0,completed
88,3906,364,2024-12-23 09:45:02,5,0,5,0,completed
89,2893,496,2024-12-05 18:34:30,20,0,20,0,completed
90,4832,181,2024-09-14 02:44:06,20,20,0,0,completed
91,4697,283,2025-01-22 06:05:34,25,0,25,0,completed
92,2548,82,2024-09-25 07:01:45,10,10,0,200,completed
93,4625,462,2024-12-28 06:11:38,100,10,90,0,completed
94,2858,453,2025-01-15 05:15:08,20,0,20,20,cancelled
95,4852,341,2024-09-14 12:46:13,100,25,75,100,cancelled
96,1886,78,2024-10-02 03:49:53,100,0,100,100,cancelled
97,1363,290,2024-11-18 10:31:23,50,0,50,0,completed
98,1491,342,2024-10-15 18:53:43,25,0,25,0,completed
99,4420,62,2024-12-28 04:45:52,5,0,5,0,completed
100,2024,490,2024-11-09 04:35:09,10,0,10,0,completed
101,3245,333,2024-11-10 13:59:48,50,0,50,50,cancelled
102,3484,321,2024-10-17 11:40:10,10,0,10,0,completed
103,3956,302,2024-12-18 09:36:36,20,10,10,0,completed
104,3781,487,2024-09-18 12:53:12,50,0,50,0,completed
105,988,400,2024-11-08 00:56:56,25,0,25,0,completed
106,1367,448,2024-11-21 06:49:57,50,0,50,0,completed
107,3372,85,2024-12-31 20:47:34,20,0,20,0,completed
108,1520,378,2025-01-01 12:35:55,25,0,25,25,cancelled
109,3110,271,2024-11-11 05:52:26,25,0,25,0,completed
110,3215,167,2024-10-19 02:30:05,50,0,50,75.0,completed
111,1404,2,2024-10-01 07:41:52,100,0,100,100,cancelled
112,1667,500,2024-09-24 03:21:22,20,0,20,400,completed
113,2294,21,2024-12-02 09:48:11,25,0,25,25,cancelled
114,4028,58,2024-12-23 19:48:13,25,0,25,0,completed
115,4066,60,2024-10-20 05:46:55,5,5,0,5,cancelled
116,805,220,2024-11-28 13:57:31,100,20,80,0,completed
